,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d[0,0]",1.504,0.2744,1.0808,1.9846,0.0022,0.0016,15947.9365,6277.5258,1.0004
"d[0,1]",1.5175,0.2772,1.0653,1.9658,0.0022,0.0016,15481.0365,5959.5832,1.0
"d[0,2]",1.724,0.288,1.244,2.1833,0.0025,0.0018,13777.8418,6084.6516,1.0
"d[0,3]",1.5215,0.2815,1.059,1.9805,0.0023,0.0017,14652.9246,6120.7138,1.0005
"d[0,4]",2.0302,0.2991,1.5344,2.5122,0.0024,0.0018,15053.5796,6679.7037,1.0009
"d[0,5]",1.4873,0.2841,1.0448,1.9811,0.0023,0.0017,15083.259,5360.7655,1.0
"d[0,6]",1.8469,0.3028,1.3229,2.3199,0.0025,0.0018,14406.5717,6296.0551,1.0005
"d[0,7]",1.5522,0.2756,1.1097,2.0068,0.0024,0.0018,12995.5699,6325.4797,1.0002
"d[0,8]",1.4008,0.2831,0.9379,1.8689,0.0024,0.0017,14199.2103,6125.1929,1.0008
"d[0,9]",1.7302,0.2788,1.2774,2.1821,0.0023,0.0017,14702.3946,6196.9792,1.001
"d[0,10]",1.8743,0.2887,1.406,2.3538,0.0023,0.0017,15236.7877,6400.1596,0.9998
"d[0,11]",1.7266,0.2781,1.2822,2.1994,0.0022,0.0016,15904.1076,6600.7138,1.0006
"d[0,12]",1.8468,0.2992,1.3425,2.319,0.0025,0.0018,14679.4786,6186.2021,1.0003
"d[0,13]",1.9167,0.2861,1.4285,2.3752,0.0022,0.0016,16364.7472,6343.3317,1.001
"d[0,14]",1.7573,0.2846,1.2844,2.2098,0.0024,0.0018,13960.5681,6435.2834,1.0005
"d[0,15]",1.55,0.2765,1.0862,2.0011,0.0022,0.0016,15388.336,6572.95,1.0002
"d[0,16]",1.8759,0.2954,1.4019,2.369,0.0025,0.0018,13762.0212,6229.5659,1.0009
"d[0,17]",1.359,0.2734,0.9091,1.8064,0.0022,0.0016,15140.3738,6543.8447,1.0005
"d[0,18]",1.5166,0.2795,1.0612,1.9802,0.0022,0.0017,15772.1495,6079.0744,1.0004
"d[0,19]",1.6023,0.2928,1.1296,2.0907,0.0024,0.0018,14937.3917,6926.5529,1.002
"d[1,0]",0.8665,0.2787,0.4081,1.3197,0.0023,0.0018,14785.6211,6625.6188,1.0012
"d[1,1]",0.5006,0.2754,0.0538,0.9546,0.0024,0.002,13245.8362,6726.1771,1.0
"d[1,2]",0.8478,0.2875,0.3674,1.3119,0.0025,0.002,13027.644,6581.6293,1.0003
"d[1,3]",0.6674,0.2719,0.2415,1.1292,0.0022,0.0018,14953.3567,6159.8245,1.0003
"d[1,4]",0.7428,0.2635,0.315,1.1755,0.0023,0.0017,13374.2089,6669.4614,1.0005
"d[1,5]",0.7682,0.2636,0.3499,1.2221,0.0023,0.0018,13002.3534,6267.9018,1.0004
"d[1,6]",1.0106,0.2732,0.5728,1.4698,0.0024,0.0018,13429.0589,6206.9934,1.0
"d[1,7]",0.8924,0.2872,0.4328,1.3704,0.0024,0.0019,14192.4474,6102.0862,1.0
"d[1,8]",0.307,0.2508,-0.086,0.7349,0.0021,0.002,13693.1467,5998.5889,1.0011
"d[1,9]",0.5772,0.2607,0.1362,0.9881,0.0022,0.0017,14474.7716,6176.425,0.9998
"d[1,10]",0.4165,0.2582,0.0132,0.8653,0.0021,0.0018,15155.1656,6076.8601,1.0005
"d[1,11]",0.8179,0.2872,0.372,1.307,0.0025,0.0019,13554.1529,6445.9837,0.9998
"d[1,12]",0.4458,0.2609,0.0217,0.8747,0.0022,0.0018,14210.9248,6368.0622,0.9998
"d[1,13]",0.6697,0.2628,0.244,1.1111,0.0021,0.0017,14978.555,6663.1149,1.0003
"d[1,14]",0.9836,0.2847,0.5131,1.4378,0.0025,0.0019,13262.0522,6299.9466,1.0007
"d[1,15]",0.775,0.2776,0.3238,1.227,0.0023,0.0018,14612.6585,6707.9434,1.0001
"d[1,16]",0.6904,0.2644,0.2425,1.1073,0.0023,0.0017,13308.1723,6202.8438,0.9997
"d[1,17]",0.9395,0.2776,0.4702,1.3781,0.0025,0.0019,12142.4329,5923.0177,1.0006
"d[1,18]",0.7507,0.28,0.2942,1.2148,0.0024,0.0019,13446.6894,6396.4739,1.0005
"d[1,19]",0.6496,0.2793,0.2024,1.1183,0.0024,0.0019,13771.8405,5899.6909,1.0
"c[0,0]",0.2296,0.1591,-0.038,0.4867,0.0012,0.0012,17492.9721,6074.4027,1.0006
"c[0,1]",0.1126,0.158,-0.1481,0.3647,0.0013,0.0014,13870.8805,6464.8058,1.0002
"c[0,2]",-0.012,0.1684,-0.2965,0.2563,0.0015,0.002,13574.0057,5904.2986,0.9999
"c[0,3]",-0.0291,0.1598,-0.2748,0.2454,0.0014,0.0018,13915.3678,6105.8179,1.0004
"c[0,4]",0.082,0.1792,-0.2209,0.3607,0.0015,0.0018,13743.0307,6823.2834,1.0001
"c[0,5]",-0.0523,0.1627,-0.309,0.225,0.0014,0.0017,14003.0249,5607.673,1.0004
"c[0,6]",-0.084,0.1744,-0.3676,0.1982,0.0014,0.0017,14722.5948,5827.8281,1.0003
"c[0,7]",-0.0019,0.1605,-0.27,0.2597,0.0013,0.0017,14871.7237,6932.3395,1.0
"c[0,8]",-0.1273,0.1621,-0.3865,0.1403,0.0013,0.0014,14440.4223,6685.355,1.0002
"c[0,9]",0.1479,0.1648,-0.1344,0.4087,0.0014,0.0015,14180.3785,6040.2588,1.0011
"c[0,10]",0.1193,0.1692,-0.1571,0.4029,0.0014,0.0015,14262.451,6405.4878,1.0
"c[0,11]",0.2796,0.1653,-0.0116,0.5305,0.0013,0.0012,15246.3283,6139.6252,1.0002
"c[0,12]",-0.0887,0.1723,-0.3704,0.1968,0.0015,0.0018,13096.814,5970.6326,0.9999
"c[0,13]",0.1557,0.1738,-0.1397,0.4336,0.0015,0.0015,14205.7757,6467.8983,1.0012
"c[0,14]",0.0204,0.1676,-0.2669,0.2815,0.0014,0.0019,15558.9306,6454.5579,1.0018
"c[0,15]",-0.0022,0.163,-0.2762,0.2542,0.0014,0.002,13796.1753,6132.3708,1.0012
