,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"dz[0,0]",0.6935,0.3624,0.0991,1.2891,0.0032,0.0027,12487.1161,5983.3774,1.0003
"dz[0,1]",0.8855,0.3687,0.2652,1.4843,0.0034,0.0026,11814.4508,5902.5982,1.0002
"dz[0,2]",0.9613,0.38,0.3447,1.5859,0.0037,0.0028,10639.7057,5939.7649,1.0016
"dz[0,3]",0.7218,0.3811,0.1001,1.3663,0.0036,0.0028,11271.3827,6481.8362,1.0009
"dz[0,4]",0.9617,0.38,0.3033,1.5438,0.0036,0.0027,11247.6731,6027.5332,1.0001
"dz[0,5]",0.9973,0.38,0.3451,1.5964,0.0035,0.0027,11986.8557,5866.736,1.0003
"dz[0,6]",0.7869,0.3804,0.1566,1.3937,0.0036,0.0028,10870.2985,6148.7924,0.9998
"dz[0,7]",0.9244,0.3766,0.318,1.5511,0.0036,0.0027,10676.2887,5291.3881,1.0004
"dz[0,8]",0.7841,0.3674,0.1768,1.3894,0.0032,0.0025,13117.5872,6158.2381,1.0011
"dz[0,9]",1.2921,0.3904,0.6379,1.9233,0.0037,0.0027,11014.7172,5601.0549,1.0007
"dz[0,10]",0.9482,0.3731,0.3345,1.5617,0.0036,0.0027,10905.6193,5931.1852,0.9998
"dz[0,11]",0.8566,0.3801,0.2327,1.4757,0.0032,0.0025,13943.3479,6323.2331,1.0007
"dz[0,12]",1.0753,0.381,0.4467,1.7083,0.0036,0.0026,11437.3835,5675.0934,1.0
"dz[0,13]",0.8583,0.3789,0.2481,1.4836,0.0034,0.0028,12438.7069,5907.1681,1.0004
"dz[0,14]",1.0371,0.3866,0.4229,1.6943,0.0035,0.0027,12111.3622,5783.1661,1.0006
"dz[0,15]",0.9322,0.3694,0.3351,1.5544,0.0035,0.0027,10911.4093,6205.6645,1.0001
"dz[0,16]",0.8126,0.3722,0.203,1.422,0.0035,0.0026,11287.9359,5527.4088,1.0016
"dz[0,17]",0.8467,0.3716,0.2311,1.4477,0.0034,0.0027,11970.554,6025.2354,1.0011
"dz[0,18]",0.904,0.3733,0.3169,1.5346,0.0034,0.0027,12426.2874,5332.1324,1.0002
"dz[0,19]",0.9522,0.3704,0.3489,1.56,0.0034,0.0026,11682.234,5814.9693,1.0002
"dz[0,20]",0.8381,0.3653,0.2043,1.4082,0.0034,0.0026,11577.1353,5853.2384,1.0011
"dz[0,21]",0.9535,0.3686,0.3285,1.54,0.0035,0.0026,11383.6065,5690.8475,1.0001
"dz[0,22]",1.0351,0.372,0.4344,1.6562,0.0032,0.0025,13250.0369,6292.6313,1.0
"dz[0,23]",1.064,0.3828,0.4147,1.678,0.0035,0.0027,11750.0965,5715.5994,0.9997
"dz[0,24]",0.9391,0.3714,0.3137,1.5337,0.0032,0.0025,13054.3385,6217.2081,1.0003
"dz[0,25]",1.0167,0.3868,0.3687,1.6384,0.0036,0.0027,11629.5725,5568.153,0.9999
"dz[0,26]",0.6783,0.3754,0.0628,1.2966,0.0037,0.0029,10291.5327,5442.5849,1.0002
"dz[0,27]",1.1032,0.3857,0.4782,1.7365,0.0036,0.0027,11395.8597,5778.1447,1.001
"dz[0,28]",0.8223,0.3622,0.2171,1.4068,0.0034,0.0026,11101.7849,6488.5655,1.0008
"dz[0,29]",0.8064,0.3653,0.1752,1.3699,0.0034,0.0026,11662.9017,6484.4469,1.0019
