,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dl,1.8848,0.1042,1.7201,2.0602,0.003,0.0021,1230.0357,2379.1218,1.0042
"dz[0,0]",0.2954,0.3379,-0.2504,0.858,0.0043,0.0032,6221.1869,5762.1064,1.0009
"dz[0,1]",0.4986,0.3543,-0.0965,1.0626,0.0045,0.0034,6155.5125,6154.5383,1.0004
"dz[0,2]",0.5407,0.3659,-0.0766,1.1215,0.0046,0.0035,6293.3547,5444.2795,1.0008
"dz[0,3]",0.7047,0.3667,0.1252,1.3174,0.0048,0.0035,5861.122,5794.6753,1.0
"dz[0,4]",1.0411,0.3952,0.3999,1.6847,0.0051,0.0037,5959.285,5984.3949,1.0006
"dz[0,5]",1.0928,0.3964,0.4545,1.7341,0.0052,0.0038,5842.4163,5935.9592,1.0008
"dz[0,6]",0.4012,0.3439,-0.1514,0.9842,0.0044,0.0032,6095.4479,6268.4398,1.0002
"dz[0,7]",0.6355,0.3593,0.0768,1.2578,0.0048,0.0036,5593.2527,5491.357,1.0007
"dz[0,8]",0.8767,0.3813,0.2415,1.4871,0.0045,0.0033,7245.6751,6315.1628,1.0
"dz[0,9]",0.4649,0.3495,-0.1008,1.0403,0.0045,0.0034,6038.2748,6025.0183,1.0006
"dz[0,10]",1.3549,0.4143,0.6674,2.0192,0.0051,0.0037,6566.5336,5685.9342,1.0005
"dz[0,11]",0.6768,0.365,0.082,1.2779,0.0047,0.0035,6163.5698,5868.3003,0.9999
"dz[0,12]",0.666,0.3627,0.0793,1.257,0.0043,0.0032,7291.3626,6093.8083,1.0003
"dz[0,13]",1.2633,0.4113,0.6169,1.9534,0.0054,0.0039,5942.0191,5497.5119,1.0009
"dz[0,14]",0.9371,0.3924,0.3188,1.6059,0.005,0.0038,6071.2568,5344.757,1.0005
"dz[0,15]",1.2603,0.4091,0.5948,1.9163,0.0052,0.0038,6229.6807,6007.02,1.001
"dz[0,16]",1.4606,0.4252,0.7918,2.1869,0.0054,0.0039,6364.6802,5538.4134,1.0002
